"strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim","result"
1275,2016-04-12,818,1284,"UK native pony breeds","female","undefined",13,1,"qPCR"
708,2015-04-07,459,1206,"undefined","unreported","commercial",NA,1,"qPCR"
1168,2016-01-29,898,1490,"undefined","unreported","commercial",NA,1,"qPCR"
1662,2017-07-30,2,1262,"UK native pony breeds","female","other",20,1,"culture and qPCR"
1160,2016-01-26,1032,1269,"Non UK native horses","female","commercial",NA,1,"culture and qPCR"
443,2019-09-11,171,1449,"undefined","unreported","undefined",NA,1,"qPCR"
97,2018-04-26,114,1218,"undefined","unreported","undefined",NA,1,"qPCR"
327,2019-05-20,159,1380,"Sports horses","female","undefined",15,4,"qPCR"
448,2019-09-26,44,1506,"UK native pony breeds","male","undefined",12,5,"qPCR"
1104,2015-12-29,114,1218,"undefined","male","private",3,1,"culture and qPCR"
568,2015-01-20,75,1478,"UK native pony breeds","female","undefined",0.75,1,"qPCR"
847,2015-07-05,158,1380,"Sports horses","female","commercial",11,1,"culture and qPCR"
825,2015-06-26,74,1260,"crossbreeds","female","commercial",6,1,"culture and qPCR"
1735,2018-01-31,276,1409,"UK native horse breeds","female","commercial",13,1,"culture and qPCR"
268,2019-02-07,57,1218,"undefined","male","commercial",6,1,"qPCR"
560,2015-04-06,133,1499,"Sports horses","unreported","commercial",6.08,1,"qPCR"
1047,2015-11-05,67,1267,"undefined","male","undefined",NA,1,"qPCR"
1759,2018-03-08,24,1260,"crossbreeds","male","undefined",10,1,"culture and qPCR"
804,2015-06-11,71,1244,"Non UK native horses","male","undefined",4,1,"culture and qPCR"
1318,2016-05-27,475,1490,"UK native pony breeds","female","commercial",12,1,"qPCR"
911,2015-08-12,116,1466,"undefined","male","undefined",NA,1,"qPCR"
113,2018-06-07,72,1282,"undefined","female","other",NA,1,"culture and qPCR"
1661,2017-07-31,121,1269,"UK native pony breeds","female","undefined",NA,1,"qPCR"
851,2015-07-07,464,1285,"undefined","unreported","commercial",NA,1,"culture and qPCR"
1547,2017-03-02,346,1462,"Non UK native horses","female","undefined",2,1,"culture and qPCR"
598,2015-02-03,345,1259,"undefined","unreported","commercial",NA,1,"qPCR"
1752,2018-03-05,111,1490,"UK native pony breeds","unreported","commercial",8,1,"culture"
639,2015-02-25,124,1260,"crossbreeds","unreported","undefined",7.08,1,"culture and qPCR"
1154,2016-01-20,28,1292,"UK native pony breeds","male","undefined",11,1,"qPCR"
960,2015-09-14,106,1462,"undefined","female","undefined",NA,1,"qPCR"
55,2018-08-21,73,1463,"undefined","unreported","undefined",NA,1,"culture and qPCR"
302,2019-03-26,66,1218,"crossbreeds","male","undefined",24,4,"culture and qPCR"
826,2015-06-26,40,1436,"undefined","unreported","undefined",NA,1,"qPCR"
1505,2016-12-08,290,1220,"crossbreeds","male","undefined",4,1,"qPCR"
1473,2016-10-24,325,1191,"Sports horses","female","private",7,1,"qPCR"
702,2015-04-08,133,1499,"undefined","unreported","undefined",NA,1,"qPCR"
1536,2017-01-24,652,1456,"crossbreeds","male","commercial",4,1,"culture and qPCR"
445,2019-09-23,43,1442,"Sports horses","male","commercial",12,1,"qPCR"
777,2015-05-13,61,1499,"UK native horse breeds","male","commercial",NA,1,"qPCR"
326,2019-05-16,27,1428,"undefined","male","undefined",2,5,"culture and qPCR"
1056,2015-11-17,435,1522,"undefined","unreported","commercial",4,1,"culture and qPCR"
258,2019-01-22,46,1301,"crossbreeds","male","undefined",6,5,"culture and qPCR"
484,2019-12-09,90,1453,"undefined","male","undefined",NA,4,"culture and qPCR"
209,2018-12-10,54,1259,"undefined","unreported","undefined",NA,4,"culture and qPCR"
315,2019-04-16,131,1436,"Sports horses","male","commercial",1,1,"qPCR"
394,2019-08-12,143,1190,"crossbreeds","female","undefined",10,1,"qPCR"
