"","strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim"
"145",1344,2016-06-15,4,1490,"UK native pony breeds","female","private",4,1
"146",1319,2016-05-27,626,1194,"undefined","female","undefined",NA,1
"147",1173,2015-12-31,96,1380,"Sports horses","unreported","undefined",NA,1
"148",1324,2016-05-31,28,1292,"undefined","unreported","undefined",NA,1
"149",462,2019-10-08,114,1218,"undefined","unreported","undefined",NA,1
"150",1358,2016-06-22,931,1522,"undefined","unreported","undefined",NA,1
"151",1664,2017-08-01,818,1284,"undefined","unreported","undefined",NA,1
"152",621,2015-11-05,67,1267,"undefined","female","undefined",5,1
"153",726,2015-04-15,345,1259,"Non UK native horses","female","undefined",NA,1
"154",1294,2016-04-27,71,1244,"undefined","male","commercial",5,1
"155",331,2019-05-23,54,1259,"UK native horse breeds","male","undefined",NA,4
"156",1481,2016-11-08,215,1294,"UK native horse breeds","male","undefined",20,1
"157",1717,2017-12-27,106,1462,"crossbreeds","female","commercial",15.16,1
"158",1381,2016-07-13,147,1490,"undefined","male","undefined",NA,1
"159",380,2019-07-22,17,1292,"Non UK native horses","male","undefined",NA,1
"160",1428,2016-08-31,551,1470,"UK native pony breeds","male","commercial",5,1
"161",540,2015-01-05,345,1259,"Sports horses","unreported","commercial",NA,1
"162",1274,2016-04-08,818,1284,"undefined","unreported","undefined",NA,1
"163",797,2015-06-09,178,1460,"UK native horse breeds","female","commercial",NA,1
"164",716,2015-04-14,18,1456,"undefined","unreported","undefined",NA,1
"165",1367,2016-06-27,106,1462,"Sports horses","male","undefined",11.5,1
"166",1746,2018-02-23,111,1490,"Sports horses","male","undefined",10.58,1
"167",334,2019-05-24,76,1508,"undefined","unreported","undefined",21,1
"168",386,2019-07-29,117,1269,"Sports horses","female","undefined",8,5
"169",828,2015-06-26,28,1292,"undefined","female","undefined",NA,1
"170",1032,2015-10-19,159,1380,"Sports horses","male","commercial",NA,1
"171",377,2019-07-18,17,1292,"Non UK native horses","unreported","commercial",5,1
"172",737,2015-04-24,931,1522,"undefined","female","undefined",NA,1
"173",1573,2017-02-10,20,1294,"Sports horses","male","undefined",15,1
"174",732,2015-04-21,175,1428,"crossbreeds","female","undefined",8,1
"175",159,2018-09-01,21,1268,"undefined","male","undefined",24,1
"176",976,2015-09-27,16,1385,"UK native horse breeds","female","undefined",5,1
"177",275,2019-02-19,99,1508,"undefined","unreported","undefined",NA,1
"178",140,2018-07-16,48,1449,"undefined","female","undefined",NA,1
"179",1234,2016-03-16,744,1520,"UK native pony breeds","male","other",NA,1
"180",1695,2017-11-09,231,1495,"UK native horse breeds","unreported","undefined",1,1
"181",1743,2018-02-15,111,1490,"UK native pony breeds","female","commercial",21,1
"182",1540,2017-01-12,1118,1516,"UK native horse breeds","male","commercial",18,1
"183",1489,2016-11-15,551,1470,"UK native pony breeds","unreported","undefined",13,1
"184",974,2015-09-24,931,1522,"undefined","unreported","undefined",NA,1
"185",1264,2016-04-05,28,1292,"UK native pony breeds","female","undefined",18,1
"186",1741,2018-02-05,244,1453,"UK native pony breeds","female","undefined",NA,1
"187",1055,2015-11-16,174,1188,"UK native horse breeds","male","private",1.25,1
"188",1250,2016-03-24,46,1301,"Sports horses","male","commercial",5,1
"189",597,2015-02-03,345,1259,"undefined","unreported","commercial",NA,1
"190",831,2015-06-29,940,1481,"UK native pony breeds","female","undefined",6,1
"191",1199,2016-02-23,1126,1243,"undefined","female","undefined",5,1
"192",288,2019-03-01,159,1380,"UK native pony breeds","female","commercial",NA,1
"193",845,2015-07-06,149,1465,"Sports horses","female","other",4,1
"194",51,2018-10-24,54,1259,"UK native horse breeds","male","undefined",1,4
"195",1443,2016-09-19,20,1294,"undefined","unreported","undefined",NA,1
"196",1555,2017-01-21,4,1490,"UK native horse breeds","female","commercial",6,1
"197",954,2015-09-11,93,1520,"Sports horses","male","private",13,1
"198",1537,2017-01-10,139,1187,"UK native pony breeds","unreported","undefined",6,1
"199",1266,2016-04-06,116,1466,"undefined","unreported","undefined",NA,1
"200",1414,2016-08-17,843,1218,"undefined","unreported","undefined",NA,1
"201",1353,2016-06-21,505,1269,"UK native pony breeds","male","undefined",8.08,1
"202",1650,2017-06-23,28,1292,"Non UK native horses","male","commercial",NA,1
"203",1514,2016-12-15,93,1520,"undefined","unreported","commercial",NA,1
"204",574,2015-05-27,413,1218,"UK native pony breeds","female","undefined",7,1
"205",1552,2017-01-19,71,1244,"UK native pony breeds","unreported","undefined",6,1
"206",1756,2018-03-06,44,1506,"undefined","unreported","undefined",20,1
"207",879,2015-07-21,36,1449,"Sports horses","unreported","undefined",4,1
"208",1660,2017-07-21,42,1284,"Sports horses","unreported","other",23.5,1
"209",1477,2015-12-31,40,1436,"Sports horses","male","other",NA,1
"210",717,2015-02-03,345,1259,"UK native pony breeds","male","commercial",5,1
"211",211,2018-12-12,53,1285,"undefined","unreported","undefined",11,1
"212",932,2015-08-26,24,1260,"undefined","male","undefined",NA,1
"213",967,2015-09-16,68,1218,"Sports horses","male","undefined",14,1
"214",1546,2017-01-17,61,1499,"undefined","male","undefined",7,1
"215",135,2018-07-12,1,1262,"Non UK native horses","male","undefined",16,1
"216",387,2019-07-29,145,1282,"UK native pony breeds","unreported","undefined",NA,5
"217",107,2018-05-15,20,1294,"undefined","unreported","undefined",NA,1
"218",1619,2017-05-14,5,1447,"undefined","female","private",5,1
"219",492,2019-12-05,164,1523,"UK native horse breeds","male","other",25,1
"220",955,2015-09-14,99,1508,"undefined","unreported","undefined",NA,1
"221",1471,2016-10-19,970,1485,"Sports horses","male","commercial",15.5,1
"222",584,2015-01-27,1122,1522,"Donkey Gen","female","private",NA,1
"223",78,2019-07-01,62,1317,"Sports horses","male","private",11,1
"224",1659,2017-07-18,121,1269,"undefined","female","undefined",9,1
"225",1774,2018-03-21,18,1456,"UK native horse breeds","male","undefined",NA,1
"226",1046,2015-11-09,67,1267,"undefined","unreported","undefined",NA,1
"227",1585,2017-03-06,96,1380,"UK native horse breeds","male","undefined",12,1
"228",317,2019-04-17,149,1465,"UK native pony breeds","female","undefined",NA,5
"229",1700,2017-11-17,1114,1508,"undefined","female","undefined",NA,1
"230",697,2015-03-30,93,1520,"UK native horse breeds","female","undefined",8,1
"231",396,2019-08-14,162,1188,"undefined","male","undefined",2,3
"232",628,2015-02-22,116,1466,"UK native horse breeds","male","undefined",0.58,1
"233",764,2015-05-08,1126,1243,"UK native pony breeds","female","undefined",NA,1
"234",486,2019-11-15,139,1187,"UK native pony breeds","female","undefined",16,6
"235",1542,2017-01-16,39,1240,"crossbreeds","male","commercial",11,1
"236",15,2019-03-12,1,1262,"Sports horses","male","undefined",7,1
"237",229,2018-12-28,139,1187,"UK native pony breeds","unreported","undefined",NA,1
"238",638,2015-02-25,116,1466,"undefined","female","undefined",NA,1
"239",251,2019-01-15,131,1436,"undefined","unreported","undefined",NA,1
"240",1480,2016-11-04,6,1242,"undefined","unreported","undefined",NA,1
"241",1581,2017-03-01,249,1502,"Sports horses","male","undefined",12,1
"242",1762,2018-03-06,719,1296,"UK native horse breeds","female","commercial",8.08,1
"243",338,2019-05-27,59,1303,"UK native horse breeds","unreported","private",2,1
"244",266,2019-02-05,13,1317,"UK native pony breeds","male","undefined",5,4
"245",1308,2016-05-20,79,1449,"undefined","unreported","undefined",NA,1
"246",1275,2016-04-12,818,1284,"UK native pony breeds","female","undefined",13,1
"247",708,2015-04-07,459,1206,"undefined","unreported","commercial",NA,1
"248",1168,2016-01-29,898,1490,"undefined","unreported","commercial",NA,1
"249",1662,2017-07-30,2,1262,"UK native pony breeds","female","other",20,1
"250",1160,2016-01-26,1032,1269,"Non UK native horses","female","commercial",NA,1
"251",443,2019-09-11,171,1449,"undefined","unreported","undefined",NA,1
"252",97,2018-04-26,114,1218,"undefined","unreported","undefined",NA,1
"253",327,2019-05-20,159,1380,"Sports horses","female","undefined",15,4
"254",448,2019-09-26,44,1506,"UK native pony breeds","male","undefined",12,5
"255",1104,2015-12-29,114,1218,"undefined","male","private",3,1
"256",568,2015-01-20,75,1478,"UK native pony breeds","female","undefined",0.75,1
"257",847,2015-07-05,158,1380,"Sports horses","female","commercial",11,1
"258",825,2015-06-26,74,1260,"crossbreeds","female","commercial",6,1
"259",1735,2018-01-31,276,1409,"UK native horse breeds","female","commercial",13,1
"260",268,2019-02-07,57,1218,"undefined","male","commercial",6,1
"261",560,2015-04-06,133,1499,"Sports horses","unreported","commercial",6.08,1
"262",1047,2015-11-05,67,1267,"undefined","male","undefined",NA,1
"263",1759,2018-03-08,24,1260,"crossbreeds","male","undefined",10,1
"264",804,2015-06-11,71,1244,"Non UK native horses","male","undefined",4,1
"265",1318,2016-05-27,475,1490,"UK native pony breeds","female","commercial",12,1
"266",911,2015-08-12,116,1466,"undefined","male","undefined",NA,1
